Time,Original_Signal,Filtered_Signal
14.56,-52.5442105921112,6.111700781537559
14.57,-51.72100830429804,6.179270921049878
14.58,-53.89780601648482,6.206741140031871
14.59,-57.074603728671605,6.2013216483610085
14.6,-48.25140144085839,6.171532274565537
14.61,-57.42819915304517,6.12684477959734
14.62,-50.60499686523195,6.077291511155964
14.63,-49.78179457741879,6.033052029014636
14.64,-51.958592289605576,6.004029109244692
14.65,-58.13539000179236,5.9994261162766405
14.66,-54.31218771397914,6.027339020513394
14.67,-54.488985426165925,6.094377934098118
14.68,-56.66578313835271,6.205334390280142
14.69,-56.84258085053955,6.36291121712587
14.7,-57.01937856272633,6.567531438717473
14.71,-57.196176274913114,6.817241005471249
14.72,-57.3729739870999,7.107717236153767
14.73,-55.54977169928668,7.432390671847141
14.74,-61.72656941147346,7.782682725560906
14.75,-61.9033671236603,8.148355271901574
14.76,-58.080164835847086,8.517961439423722
14.77,-55.25696254803387,8.879379736674581
14.78,-56.43376026022071,9.220406830395778
14.79,-60.610557972407435,9.529378505896577
14.8,-60.787355684594274,9.795784220787375
14.81,-59.96415339678106,10.010838596867421
14.82,-62.14095110896784,10.167973289535196
14.83,-58.31774882115462,10.26321493625052
14.84,-57.49454653334146,10.295419373479945
14.85,-61.67134424552819,10.266339119625906
14.86,-59.84814195771503,10.18051022817844
14.87,-58.02493966990181,10.044955723927135
14.88,-62.201737382088595,9.86871531320846
14.89,-60.37853509427538,9.662223991697584
14.9,-67.55533280646222,9.436574458917422
14.91,-66.73213051864894,9.202708694599451
14.92,-65.90892823083578,8.970591503612889
14.93,-75.08572594302257,8.748422370754424
14.94,-69.26252365520935,8.541941087554928
14.95,-67.43932136739613,8.353877354095657
14.96,-68.61611907958292,8.183585474974846
14.97,-67.79291679176976,8.026893321651743
14.98,-73.96971450395654,7.8761810640403915
14.99,-69.14651221614332,7.7206908277044395
15.0,-76.3233099283301,7.547054199009927
15.01,-74.50010764051694,7.340010957083153
15.02,-77.67690535270367,7.083280081099562
15.03,-75.85370306489051,6.760533556459452
15.04,-74.0305007770773,6.356415484081771
15.05,-75.20729848926408,5.857544248783916
15.06,-76.38409620145086,5.25343472502733
15.07,-78.5608939136377,4.53728112356383
15.08,-80.73769162582443,3.7065490964251806
15.09,-78.91448933801126,2.763337611680981
15.1,-85.09128705019805,1.7144859846093015
15.11,-83.26808476238483,0.5714181854086196
15.12,-87.44488247457161,-0.6502660831020961
15.13,-86.62168018675845,-1.9314272720770214
15.14,-86.79847789894518,-3.2502076092776555
15.15,-94.97527561113202,-4.5829852050007975
15.16,-98.1520733233188,-5.905399323661354
15.17,-103.32887103550559,-7.193382278970549
15.18,-107.50566874769243,-8.424135641986915
15.19,-107.68246645987921,-9.576996241430303
15.2,-106.85926417206599,-10.634150114691256
15.21,-105.03606188425277,-11.581168596358474
15.22,-99.21285959643956,-12.407357871877265
15.23,-100.38965730862634,-13.105929064271672
15.24,-102.56645502081318,-13.674008031336028
15.25,-103.74325273299996,-14.112511108524185
15.26,-105.92005044518675,-14.425914736612041
15.27,-108.09684815737353,-14.621944050088642
15.28,-113.27364586956031,-14.711199622270525
15.29,-114.4504435817471,-14.706734532652554
15.3,-111.62724129393393,-14.62358751564166
15.31,-116.80403900612072,-14.478273540482146
15.32,-112.9808367183075,-14.288231544582038
15.33,-118.15763443049428,-14.071230367254776
15.34,-114.33443214268107,-13.844737878245779
15.35,-114.51122985486785,-13.625264187823646
15.36,-117.68802756705469,-13.42769675599226
15.37,-114.86482527924147,-13.264652150818568
15.38,-112.04162299142826,-13.145875086891657
15.39,-118.2184207036151,-13.077719250975756
15.4,-114.39521841580182,-13.06274553652728
15.41,-110.57201612798866,-13.099471185896162
15.42,-115.74881384017544,-13.182297845896292
15.43,-118.92561155236223,-13.301637917580276
15.44,-118.10240926454901,-13.444247437812516
15.45,-118.27920697673585,-13.593761014095763
15.46,-119.45600468892258,-13.731411173612404
